eser,mdau,mspe,nlei,nnoc,paur,pnat,ppip,timestamp,size,length
0,0,0,0,0,0,0,2,2017-07-22T23:25:10Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:13:44Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:26:42Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:14:46Z,4194272,5
0,0,0,0,0,0,1,2,2017-07-22T23:22:22Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:43:48Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:40:26Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:55:36Z,8388544,10
1,0,0,0,0,0,0,2,2017-07-22T23:17:52Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:40:12Z,4194272,5
1,0,0,0,0,0,0,2,2017-07-22T23:21:40Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T21:27:10Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:40:30Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:26:32Z,8388544,10
0,0,0,0,0,0,0,1,2017-07-22T21:24:08Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:22:46Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:26:48Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:22:40Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:32:20Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:28:36Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:07:18Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T23:12:52Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T23:23:06Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:23:04Z,4194272,5
0,0,1,0,0,0,0,2,2017-07-22T23:18:02Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:16:28Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:30:52Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:32:30Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:22:50Z,8388544,10
0,0,0,0,0,0,0,1,2017-07-22T22:59:34Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:18:28Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:28:06Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T23:17:00Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:30:04Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T23:14:34Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:26:16Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:27:34Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T23:25:02Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:25:42Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T23:25:26Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T23:16:36Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:14:20Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:24:40Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T23:24:24Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:19:44Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:19:40Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:19:26Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T23:16:42Z,4194272,5
1,0,0,0,0,0,0,1,2017-07-22T22:33:22Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:04:12Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:15:16Z,8388544,10
0,0,0,0,1,0,0,1,2017-07-22T23:29:30Z,4194272,5
1,0,0,0,0,0,0,1,2017-07-22T23:18:20Z,4194272,5
1,0,0,0,0,0,0,3,2017-07-22T23:31:44Z,8388544,10
1,0,0,0,0,0,0,2,2017-07-22T23:31:00Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:15:04Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T23:05:44Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:14:56Z,4194272,5
0,0,1,0,0,0,0,2,2017-07-22T23:06:38Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:18:52Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:05:24Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:24:56Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:14:04Z,8388544,10
0,0,0,0,0,0,0,1,2017-07-22T22:59:52Z,4194272,5
1,0,0,0,0,0,0,3,2017-07-22T23:22:28Z,4194272,5
0,1,0,0,0,0,0,2,2017-07-22T23:22:04Z,4194272,5
