observation	timestamp	species	x	y
139552805	1496615340	Oryctolagus cuniculus	4.242364	50.740677
139552804	1496615400	Pipistrellus pipistrellus	4.242624	50.740825
139552803	1496615640	Pipistrellus pipistrellus	4.244819	50.741632
139552801	1496615820	Pipistrellus pipistrellus	4.247427	50.742451
139552802	1496615820	Pipistrellus pipistrellus	4.247383	50.742313
139552799	1496615880	Pipistrellus pipistrellus	4.247046	50.74278
139552800	1496615880	Pipistrellus pipistrellus	4.247191	50.742683
139552798	1496617020	Pipistrellus pipistrellus	4.246654	50.73933
139552797	1496617020	Pipistrellus pipistrellus	4.246898	50.739609
139552796	1496617080	Pipistrellus pipistrellus	4.247035	50.739742
139552795	1496617440	Myotis mystacinus	4.250972	50.7411
139552794	1496617620	Pipistrellus pipistrellus	4.252431	50.741682
139552793	1496617800	Pipistrellus pipistrellus	4.253868	50.741004
139552792	1496617800	Pipistrellus pipistrellus	4.253961	50.741007
139552789	1496617920	Pipistrellus pipistrellus	4.254335	50.740748
139552790	1496617920	Pipistrellus pipistrellus	4.254232	50.740859
139552791	1496617920	Pipistrellus pipistrellus	4.254106	50.740966
139552788	1496617980	Pipistrellus pipistrellus	4.254573	50.740643
139552785	1496618100	Pipistrellus pipistrellus	4.256201	50.739575
139552786	1496618100	Myotis mystacinus	4.256093	50.739615
139552784	1496618280	Pipistrellus pipistrellus	4.258892	50.738021
139552783	1496618340	Pipistrellus pipistrellus	4.259041	50.737921
139552782	1496618340	Pipistrellus pipistrellus	4.259488	50.737652
139552781	1496618340	Pipistrellus pipistrellus	4.25961	50.737569
139552780	1496618520	Pipistrellus pipistrellus	4.259737	50.737183
139552778	1496619000	Pipistrellus pipistrellus	4.260523	50.735288
139552779	1496619000	Pipistrellus pipistrellus	4.26031	50.735413
139552775	1496619060	Pipistrellus pipistrellus	4.261408	50.734698
139552777	1496619060	Pipistrellus pipistrellus	4.260747	50.735163
139552776	1496619060	Pipistrellus pipistrellus	4.26118	50.734825
139552774	1496619960	Vulpes vulpes	4.253783	50.731236
139552773	1496620320	Pipistrellus pipistrellus	4.248907	50.733255
139552772	1496620440	Pipistrellus pipistrellus	4.246981	50.733445
139552770	1496620500	Pipistrellus pipistrellus	4.246103	50.733353
139552771	1496620500	Pipistrellus pipistrellus	4.246732	50.733443
139552768	1496620680	Pipistrellus pipistrellus	4.244402	50.732043
139552769	1496620680	Pipistrellus pipistrellus	4.244411	50.732211
139552766	1496620800	Pipistrellus pipistrellus	4.244044	50.730826
139552767	1496620800	Pipistrellus pipistrellus	4.244035	50.730841
139552765	1496620920	Pipistrellus pipistrellus	4.243291	50.730953
139552762	1496621400	Pipistrellus pipistrellus	4.238045	50.73222
139552764	1496621400	Pipistrellus pipistrellus	4.238105	50.732247
139552763	1496621400	Pipistrellus pipistrellus	4.238084	50.73222
139552761	1496621520	Pipistrellus pipistrellus	4.237937	50.73233
139552760	1496621520	Pipistrellus pipistrellus	4.238048	50.732353
