"location","c130","height"
"DomANT09273",25,8.5
"DomANT09273",25,8.5
"DomANT09273",25,9
"DomANT09273",35,12
"DomANT09273",35,13
"DomANT09273",45,14
"DomANT09273",55,13
"DomANT09273",55,14.5
"DomANT09273",65,14
"DomANT09273",65,15
"DomANT09273",65,16
"DomANT09273",85,14
"DomANT09273",85,23
"DomANT09273",95,18.5
"DomANT09273",95,19
"DomANT09273",95,21.5
"DomANT09273",105,18
"DomANT09273",105,22
"DomANT09273",105,24
"DomANT09273",115,20.5
"DomANT09273",115,21
"DomANT09273",115,21.5
"DomANT09273",115,22
"DomANT09273",115,28
"DomANT09273",125,22
"DomANT09273",125,22.5
"DomANT09273",125,23
"DomANT09273",125,23
"DomANT09273",125,23
"DomANT09273",125,23
"DomANT09273",125,24
"DomANT09273",125,24.5
"DomANT09273",125,25
"DomANT09273",125,26
"DomANT09273",125,26
"DomANT09273",125,26
"DomANT09273",125,26
"DomANT09273",125,26.5
"DomANT09273",125,27
"DomANT09273",125,27.5
"DomANT09273",125,28
"DomANT09273",135,17.5
"DomANT09273",135,20
"DomANT09273",135,21.5
"DomANT09273",135,22
"DomANT09273",135,22.5
"DomANT09273",135,23
"DomANT09273",135,23.5
"DomANT09273",135,24
"DomANT09273",135,25
"DomANT09273",135,25
"DomANT09273",135,26.5
"DomANT09273",135,27
"DomANT09273",135,27.5
"DomANT09273",135,28
"DomANT09273",135,28.5
"DomANT09273",145,22.5
"DomANT09273",145,23.5
"DomANT09273",145,24
"DomANT09273",145,24
"DomANT09273",145,25
"DomANT09273",145,25
"DomANT09273",145,25
"DomANT09273",145,27.5
"DomANT09273",145,29
"DomANT09273",145,29.5
"DomANT09273",145,30.5
"DomANT09273",145,32
"DomANT09273",155,21
"DomANT09273",155,22
"DomANT09273",155,23
"DomANT09273",155,24
"DomANT09273",155,26
"DomANT09273",155,27
"DomANT09273",155,29
"DomANT09273",155,29.5
"DomANT09273",155,30
"DomANT09273",155,30
"DomANT09273",155,31
"DomANT09273",155,34
"DomANT09273",165,23.5
"DomANT09273",165,24
"DomANT09273",165,24.5
"DomANT09273",165,24.5
"DomANT09273",165,25
"DomANT09273",165,26
"DomANT09273",165,27
"DomANT09273",165,27
"DomANT09273",165,27
"DomANT09273",165,29
"DomANT09273",165,31
"DomANT09273",165,35
"DomANT09273",175,21
"DomANT09273",175,23.5
"DomANT09273",175,24
"DomANT09273",175,24
"DomANT09273",175,24
"DomANT09273",175,26
"DomANT09273",175,26
"DomANT09273",175,26
"DomANT09273",175,29.5
"DomANT09273",175,30
"DomANT09273",175,30.6000003814697
"DomANT09273",175,33.5
"DomANT09273",175,33.5
"DomANT09273",185,24.5
"DomANT09273",185,28
"DomANT09273",185,28
"DomANT09273",185,28.5
"DomANT09273",185,36
"DomANT09273",185,36.5
"DomANT09273",195,25
"DomANT09273",195,25.5
"DomANT09273",195,27
"DomANT09273",195,27.5
"DomANT09273",195,32.5
"DomANT09273",205,27.5
"DomANT09273",215,26
"DomANT09273",215,28.5
"DomANT09273",215,31
"DomANT09273",215,32.6
"DomANT09273",215,33.5
"DomANT09273",215,36
"DomANT09273",225,27.5
"DomANT09273",225,32.5
"DomANT09273",225,36
"DomANT09273",235,29
"DomANT09273",235,29.5
"DomANT09273",235,30.5
"DomANT09273",235,31.5
"DomANT09273",235,31.5
"DomANT09273",235,33
"DomANT09273",235,36
"DomANT09273",235,36
"DomANT11095",25,10
"DomANT11095",35,10
"DomANT11095",45,20
"DomANT11095",45,21
"DomANT11095",55,20
"DomANT11095",55,20
"DomANT11095",95,25
"DomANT11095",115,25.5
"DomANT11095",115,29
"DomANT11095",125,30
"DomANT11095",125,31
"DomANT11095",125,31
"DomANT11095",125,32
"DomANT11095",125,34
"DomANT11095",125,35
"DomANT11095",135,26
"DomANT11095",135,30
"DomANT11095",135,30
"DomANT11095",135,31
"DomANT11095",135,32
"DomANT11095",135,33
"DomANT11095",135,33
"DomANT11095",135,35
"DomANT11095",135,36
"DomANT11095",135,36
"DomANT11095",135,37
"DomANT11095",135,38
"DomANT11095",145,30
"DomANT11095",145,30.5
"DomANT11095",145,31
"DomANT11095",145,31
"DomANT11095",145,32
"DomANT11095",145,33
"DomANT11095",145,33.5
"DomANT11095",145,34
"DomANT11095",145,35
"DomANT11095",145,35
"DomANT11095",145,35
"DomANT11095",145,35
"DomANT11095",145,37
"DomANT11095",155,29
"DomANT11095",155,29
"DomANT11095",155,30.5
"DomANT11095",155,32.5
"DomANT11095",155,33
"DomANT11095",155,33.5
"DomANT11095",155,33.5
"DomANT11095",155,34
"DomANT11095",155,34
"DomANT11095",155,34.5
"DomANT11095",155,35
"DomANT11095",155,35
"DomANT11095",155,35
"DomANT11095",155,35
"DomANT11095",155,35
"DomANT11095",155,35.5
"DomANT11095",155,35.5
"DomANT11095",155,35.5
"DomANT11095",155,35.5
"DomANT11095",155,35.5
"DomANT11095",155,35.5
"DomANT11095",155,36
"DomANT11095",155,36
"DomANT11095",155,36
"DomANT11095",155,38.5
"DomANT11095",165,28
"DomANT11095",165,32
"DomANT11095",165,32
"DomANT11095",165,33
"DomANT11095",165,34
"DomANT11095",165,34
"DomANT11095",165,34
"DomANT11095",165,34
"DomANT11095",165,34
"DomANT11095",165,34.5
"DomANT11095",165,34.5
"DomANT11095",165,35
"DomANT11095",165,35
"DomANT11095",165,35
"DomANT11095",165,35
